Title,Domestic Gross,Metacritic score
Black Panther,"700,059,566",88
Avengers: Infinity War,"678,815,482",68
Incredibles 2,"608,581,744",80
Jurassic World: Fallen Kingdom,"416,769,345",51
Deadpool 2,"318,491,426",66
Dr. Seuss' The Grinch,"265,499,485",51
Mission: Impossible - Fallout,"220,159,104",86
Ant-Man and the Wasp,"216,648,740",70
Solo: A Star Wars Story,"213,767,512",62
Venom,"213,205,181",35
A Star Is Born,"201,046,727",88
Aquaman,"189,375,000",55
Bohemian Rhapsody,"189,207,042",48
A Quiet Place,"188,024,361",82
Ralph Breaks the Internet,"175,907,767",71
Crazy Rich Asians,"174,016,156",74
Hotel Transylvania 3: Summer Vacation,"167,510,016",54
Halloween,"159,326,595",67
Fantastic Beasts: The Crimes of Grindelwald,"156,629,713",52
The Meg,"145,443,742",46
